id;fecha;descripcion_estatus_cfdi;estatus;fecha_modificacion;usuario
1;2023-03-10;Avon holística Cambridgeshire;Inactivo;2023-03-10;invoice Lempira PCI
2;2023-03-10;Loan Avon;Activo;2023-03-10;back-end
3;2023-03-10;synthesize index;Inactivo;2023-03-10;colaboración
4;2023-03-10;Granito;Activo;2023-03-10;redundant
5;2023-03-10;HTTP;Inactivo;2023-03-10;Planificador
6;2023-03-10;Yuan payment SMS;Inactivo;2023-03-10;monitor
7;2023-03-10;reintermediate Guapo Comunicaciones;Inactivo;2023-03-10;proactive Pasaje Canarias
8;2023-03-10;enable;Activo;2023-03-11;multi-byte visionary
9;2023-03-10;Berkshire Senda;Inactivo;2023-03-10;backing
10;2023-03-10;Pollo;Activo;2023-03-11;copying
