id;fecha;regimen_fiscal;estatus;fecha_modificacion;usuario
1;2023-03-10;Chile;Inactivo;2023-03-11;protocol extensible
2;2023-03-10;Teclado functionalities card;Activo;2023-03-10;hard interactiva Guilder
3;2023-03-10;invoice;Activo;2023-03-10;Blanco
4;2023-03-10;state Personal Metal;Activo;2023-03-10;ADP digital IB
5;2023-03-11;Descentralizado mobile;Inactivo;2023-03-10;vortals Seychelles
6;2023-03-10;bypass Avon;Activo;2023-03-10;Violeta visionary
7;2023-03-10;feed;Activo;2023-03-10;a
8;2023-03-10;Sección Plástico;Inactivo;2023-03-10;sistemática incentivize Portug
9;2023-03-10;Inteligente;Activo;2023-03-10;Práctico
10;2023-03-10;Métricas Checking;Activo;2023-03-10;payment Guatemala Coordinador
