id;fecha;representacion_grafica;estatus;fecha_modificacion;usuario
1;2023-03-10;Genérico PNG;Activo;2023-03-10;distributed Algodón
2;2023-03-10;Deportes HDD;Activo;2023-03-10;Terrenos Robusto Avon
3;2023-03-10;transition Granito;Inactivo;2023-03-11;Normas
4;2023-03-10;Gris;Activo;2023-03-10;e-tailers
5;2023-03-11;Calidad;Inactivo;2023-03-10;expedite disintermediate
6;2023-03-10;Morado hibrida;Activo;2023-03-11;Algodón Acero
7;2023-03-11;Total;Activo;2023-03-10;networks auxiliary Malta
8;2023-03-10;Algodón;Activo;2023-03-10;Entrada Asistente
9;2023-03-10;Integración vortals;Activo;2023-03-10;Account
10;2023-03-10;proactive Amarillo invoice;Inactivo;2023-03-10;Inteligente
