id;fecha;tipo_cfdi;estatus;fecha_modificacion;usuario
1;2023-03-10;Mercado technologies;Inactivo;2023-03-10;vortals
2;2023-03-10;red action-items;Inactivo;2023-03-10;SMS 24/365
3;2023-03-10;Senda synthesize payment;Activo;2023-03-10;Mascotas
4;2023-03-10;haptic pixel deploy;Inactivo;2023-03-10;back SSL Tugrik
5;2023-03-11;Interno;Activo;2023-03-10;Account Distrito transmitting
6;2023-03-10;Berkshire;Inactivo;2023-03-10;deposit
7;2023-03-10;secundaria array Ensalada;Activo;2023-03-11;invoice
8;2023-03-11;solución Personal Increible;Activo;2023-03-10;Metal Central
9;2023-03-10;Account Paseo;Activo;2023-03-11;whiteboard
10;2023-03-11;synthesizing Haiti;Inactivo;2023-03-10;technologies
