id;fecha;tipo_recibo;clave;estatus;fecha_modificacion;usuario
1;2023-03-10;Plástico;brand Fant;Activo;2023-03-10;services hack
2;2023-03-10;payment Global Investment;cross-plat;Inactivo;2023-03-10;Berkshire
3;2023-03-11;Madera;invoice ce;Inactivo;2023-03-11;quantifying transmit Calidad
4;2023-03-11;navigate;Metal enfo;Inactivo;2023-03-10;Creativo Pequeño
5;2023-03-10;instalación;Auto Silla;Inactivo;2023-03-11;Moda
6;2023-03-11;Cambridgeshire e-business transmitter;integrate;Inactivo;2023-03-10;soporte
7;2023-03-10;Datos;Bebes Ques;Inactivo;2023-03-10;Avanzado
8;2023-03-11;hibrida Account world-class;transmit L;Inactivo;2023-03-10;Configuración
9;2023-03-10;Consultor 1080p bypassing;portal;Inactivo;2023-03-10;Granito Puerta
10;2023-03-10;Configuración withdrawal;dynamic;Inactivo;2023-03-10;previsión Blanco copy
